基金管理人简称,switch_direction,relative_market_environment,observation_count,unique_fund_count,hit_ratio,mean_active_contribution,median_active_contribution
浦银安盛基金,加股票,股显著强,1,1,1.0,0.03658252173795409,0.03658252173795409
海富通基金,减股票,差异较小,2,2,1.0,0.011915868258044585,0.011915868258044585
海富通基金,减股票,股显著强,2,2,0.0,-0.009840183524977932,-0.009840183524977932
海富通基金,加股票,债显著强,1,1,0.0,-0.02202770745653292,-0.02202770745653292
海富通基金,加股票,差异较小,2,2,0.0,-0.0016975178363866229,-0.0016975178363866229
海富通基金,加股票,股显著强,1,1,1.0,0.04564123304602039,0.04564123304602039
益民基金,减股票,差异较小,3,1,1.0,0.002834824925616828,0.002388689387223415
益民基金,加股票,债显著强,1,1,0.0,-0.010298308792145681,-0.010298308792145681
益民基金,加股票,差异较小,1,1,0.0,-0.015260285135738759,-0.015260285135738759
红土创新基金,减股票,差异较小,3,2,1.0,0.001549231182580913,0.0005076713777997303
红土创新基金,减股票,股显著强,4,2,0.0,-0.01311057293771415,-0.012184580710808381
红土创新基金,加股票,债显著强,1,1,0.0,-0.011485488692262806,-0.011485488692262806
红土创新基金,加股票,差异较小,7,2,0.14285714285714285,-0.0007600566096708561,-0.0004928273311924559
红塔红土,减股票,债显著强,1,1,1.0,0.00673481088813975,0.00673481088813975
红塔红土,减股票,差异较小,2,1,1.0,0.002785024507764201,0.002785024507764201
红塔红土,减股票,股显著强,1,1,0.0,-0.005981336780574178,-0.005981336780574178
红塔红土,加股票,差异较小,3,2,0.0,-0.003970152540059857,-0.001089103430945214
红塔红土,加股票,股显著强,1,1,1.0,0.03868939750544049,0.03868939750544049
英大基金,减股票,差异较小,1,1,1.0,0.00041863343434969517,0.00041863343434969517
英大基金,减股票,股显著强,1,1,0.0,-0.0451601498124332,-0.0451601498124332
英大基金,加股票,差异较小,1,1,0.0,-0.0029524342519415495,-0.0029524342519415495
融通基金,减股票,债显著强,2,2,1.0,0.006103183770944166,0.006103183770944166
融通基金,减股票,差异较小,11,5,0.7272727272727273,0.002387391858942274,0.00219099913287632
融通基金,减股票,股显著强,3,3,0.0,-0.010060934608758973,-0.008832442469170637
融通基金,加股票,债显著强,2,2,0.0,-0.006354832259130217,-0.006354832259130217
融通基金,加股票,差异较小,12,6,0.0,-0.003955293643329164,-0.003450634878886925
融通基金,加股票,股显著强,6,4,1.0,0.016677153655947883,0.012483431969473407
西部利得基金,减股票,差异较小,5,3,1.0,0.0037463774062179434,0.0039465918119509025
西部利得基金,加股票,债显著强,1,1,0.0,-0.04698168876383969,-0.04698168876383969
西部利得基金,加股票,差异较小,3,3,0.3333333333333333,-0.0019063389555793633,-0.0013565006058652235
西部利得基金,加股票,股显著强,3,2,1.0,0.026394828807743187,0.01858228898442566
诺安基金,减股票,差异较小,1,1,1.0,0.04355786735637226,0.04355786735637226
诺安基金,加股票,差异较小,3,1,0.3333333333333333,-0.000801692590231585,-0.00022535119635461715
诺德基金,减股票,差异较小,1,1,1.0,0.01143378914149793,0.01143378914149793
诺德基金,减股票,股显著强,1,1,0.0,-0.016990679013353428,-0.016990679013353428
诺德基金,加股票,差异较小,2,1,0.0,-0.0006405705980366677,-0.0006405705980366677
财通基金,减股票,差异较小,3,2,1.0,0.002876542433680401,0.0029960811356932286
财通基金,减股票,股显著强,2,2,0.0,-0.042495237937938427,-0.042495237937938427
财通基金,加股票,差异较小,1,1,0.0,-0.0015246634815924106,-0.0015246634815924106
财通基金,加股票,股显著强,1,1,1.0,0.020444232816596936,0.020444232816596936
财通资管,减股票,债显著强,1,1,1.0,0.007258020465032437,0.007258020465032437
财通资管,减股票,差异较小,7,4,0.8571428571428571,0.0029878797798749386,0.0023459837844387785
财通资管,减股票,股显著强,5,4,0.0,-0.008866983903878254,-0.009435067736679808
财通资管,加股票,差异较小,11,5,0.09090909090909091,-0.0023741589210212392,-0.001792851952960244
财通资管,加股票,股显著强,4,2,1.0,0.017636034595451273,0.013971703135909716
