threshold,基金管理人简称,switch_observation_count,switch_unique_fund_count,switch_success_count,switch_hit_ratio,wilson_lower_95,wilson_upper_95,mean_active_contribution,median_active_contribution,threshold_rank
0.03,东方红资产管理,17,4,10,0.5882352941176471,0.3600544264299978,0.7838894320978518,-0.001923029413293377,0.000346704060635217,29.0
0.03,中银基金,37,7,19,0.5135135135135135,0.358948966656188,0.6655359569698336,-0.0015560593012823843,0.0013187155991881928,30.0
0.03,国寿安保基金,63,8,30,0.47619047619047616,0.3578212405382701,0.5972964356326276,6.966798915150778e-05,-0.00033839794333452084,31.0
0.03,宏利基金,13,2,8,0.6153846153846154,0.355228915126657,0.8229029220223743,-0.0030070215193610805,0.001723591471423794,32.0
0.03,天弘基金,26,5,14,0.5384615384615384,0.35457938746858797,0.7124414646960878,0.0038747851556045513,0.00036499901390933144,33.0
0.03,汇添富基金,38,6,19,0.5,0.34849928364395105,0.6515007163560489,-0.00019479101667467286,6.139573858208457e-05,34.0
0.03,兴证全球基金,31,4,16,0.5161290322580645,0.348403954480288,0.6802974843758269,-0.0014189944818313136,0.0001930301776967691,35.0
0.03,兴业基金,2,1,2,1.0,0.34238022750665303,1.0,0.0030719586697526367,0.0030719586697526367,36.0
0.03,华富基金,18,2,10,0.5555555555555556,0.33716415642042774,0.7544048187299437,0.001591274840086957,0.0005423353264743123,37.0
0.03,南方基金,32,7,16,0.5,0.33630882869327483,0.6636911713067252,0.0034443545634286823,0.00010638246778375086,38.0
0.03,平安基金,57,9,26,0.45614035087719296,0.3337260558309283,0.5840931402088065,-9.884723987998434e-05,-0.00020925897674351624,39.0
0.03,长信基金,57,8,26,0.45614035087719296,0.3337260558309283,0.5840931402088065,-0.0008542420603385469,-0.0003476552948707347,40.0
0.03,富国基金,70,9,31,0.44285714285714284,0.3324952890930533,0.55916448946812,-0.0001222632560098485,-0.00039601999550140587,41.0
0.03,大成基金,33,7,16,0.48484848484848486,0.32504042108133696,0.6478162455108585,-0.0006290825964155313,-0.00023930428264666543,42.0
0.03,银华基金,40,5,18,0.45,0.3070530781090492,0.6017090820106794,6.22046561502422e-05,-0.000490634579229152,43.0
0.03,同泰基金,4,1,3,0.75,0.30064184258240184,0.9544127391902995,0.0014997382647159913,0.0037038529351381753,44.0
0.03,华润元大基金,6,1,4,0.6666666666666666,0.299993315138392,0.9032285888942195,0.026941421281805707,0.0014395002325180155,45.0
0.03,浦银安盛基金,6,1,4,0.6666666666666666,0.299993315138392,0.9032285888942195,0.0029686331676218925,0.00085374680396454,46.0
0.03,国海富兰克林基金,6,1,4,0.6666666666666666,0.299993315138392,0.9032285888942195,0.0023386362700190404,0.0011096420174975196,47.0
0.03,财通资管,36,5,16,0.4444444444444444,0.2954126874008022,0.6041893824430271,0.0007818194532880988,-0.0003156124863544841,48.0
0.03,摩根基金(中国),28,3,13,0.4642857142857143,0.2953156998279538,0.6418731076553209,-0.004730068522412219,-0.0004897659199819357,49.0
0.03,格林基金,13,2,7,0.5384615384615384,0.29143795714506004,0.7679393219046169,0.0012174894757017224,0.0016581397558410411,50.0
0.03,泰康基金,21,3,10,0.47619047619047616,0.2834400610153417,0.6763046541715557,0.00024760562659721576,-0.0002176251641686906,51.0
0.03,红塔红土,11,2,6,0.5454545454545454,0.280091537409322,0.7872872837754024,0.002718515415217504,0.00019431689135720478,52.0
0.03,东海基金,16,2,8,0.5,0.27999563610326017,0.7200043638967398,0.002671390398189642,-0.0002757495195079211,53.0
0.03,宝盈基金,16,5,8,0.5,0.27999563610326017,0.7200043638967398,0.0014394532834417293,6.73257776756297e-05,54.0
