基金主代码,基金名称,基金管理人简称,投资风格,annualized_evaluation_pool,return_quarter_count,return_period_start,return_period_end,contribution_evaluation_pool,contribution_quarter_count,latest_valid_nav_yuan,annualized_fund_return,annualized_csi300_return,annualized_bond_return,annualized_three_asset_benchmark_return,annualized_loo_peer_return,annualized_excess_vs_three_asset,annualized_excess_vs_loo_peer,significant_switch_count,significant_switch_coverage,cumulative_active_allocation_contribution,annualized_active_allocation_contribution,annualized_excess_positive,annualized_allocation_contribution_positive
013998.OF,中欧瑾添混合A,中欧基金,收入型,正式年化,8,2023Q2,2026Q1,正式贡献,10,275010000.0,0.012742297906822797,0.15147417481854641,0.0393661397041285,0.0653528652129618,0.041611073387802566,-0.052610567306139,-0.02886877548097977,6,0.6,0.017908254400419432,0.007125180436593714,False,True
014053.OF,太平睿庆混合A,太平基金,收入型,年化观察池,2,2025Q1,2025Q2,正式贡献,12,114620000.0,,,,,,,,1,0.08333333333333333,-0.0006115122552288188,-0.00020387898222418155,,False
014148.OF,景顺长城安鼎一年持有混合A,景顺长城基金,收入型,正式年化,11,2023Q1,2026Q1,正式贡献,12,66070000.00000001,0.09727845766679155,0.08901991289257127,0.042247418943270665,0.06136947025130701,0.03838943316204091,0.03590898741548454,0.05888902450475064,6,0.5,0.015500002582354622,0.005140200594419442,True,True
014598.OF,永赢合享混合发起A,永赢基金,成长型,正式年化,11,2023Q1,2025Q4,正式贡献,12,78870000.0,0.052694285133525254,0.06244733298404359,0.041334782703815076,0.04338793575497801,0.05121992316785118,0.00930634937854724,0.0014743619656740758,9,0.75,0.016143428020723105,0.005352442915003364,True,True
014615.OF,尚正正鑫混合发起A,尚正基金,收入型,正式年化,8,2023Q2,2025Q4,正式贡献,10,53050000.00000001,0.01996985009873109,0.02136096363528428,0.044740049479179866,0.030007918844082715,0.022790313315220523,-0.010038068745351625,-0.0028204632164894328,8,0.8,-0.03051756772635994,-0.01232064160491475,False,False
014619.OF,财通资管稳兴增益六个月持有期混合A,财通资管,收入型,正式年化,10,2023Q1,2026Q1,正式贡献,12,217660000.0,0.038479045745656304,0.04076728651594985,0.033951161126527074,0.048238175356562385,0.023546248649517265,-0.009759129610906081,0.014932797096139039,7,0.5833333333333334,0.02177687839243503,0.007206895349765263,False,True
014625.OF,财通资管稳兴丰益六个月持有期混合A,财通资管,收入型,正式年化,13,2023Q1,2026Q1,正式贡献,12,60090000.0,0.09759048705173079,0.06555749968804503,0.043099338066887816,0.04164910139557354,0.03149169431690235,0.05594138565615725,0.06609879273482844,5,0.4166666666666667,-0.022660159546429526,-0.007611169444358135,True,False
014657.OF,中欧融享增益一年持有混合A,中欧基金,收入型,年化观察池,5,2025Q1,2026Q1,正式贡献,12,111580000.0,,,,,,,,2,0.16666666666666666,-0.00039682347049374567,-0.00013229199056363772,,False
014752.OF,长信稳健增长一年持有混合A,长信基金,收入型,正式年化,11,2023Q1,2026Q1,正式贡献,12,270340000.0,-0.00868804230123943,0.07075801588989683,0.0459758999339821,0.034686920153152334,0.03349172921220611,-0.04337496245439176,-0.04217977151344554,8,0.6666666666666666,-0.024575164705675334,-0.008259757322821804,False,False
014767.OF,景顺长城华城稳健6个月持有期混合A,景顺长城基金,收入型,正式年化,13,2023Q1,2026Q1,正式贡献,12,5161790000.0,0.06699009238944131,0.06555749968804503,0.043099338066887816,0.04457471810101099,0.03136939052981513,0.022415374288430323,0.03562070185962618,4,0.3333333333333333,0.0070640228070746325,0.002349151435285135,True,True
014803.OF,汇安添利18个月持有期混合A,汇安基金,收入型,正式年化,9,2023Q1,2025Q2,正式贡献,12,53390000.00000001,0.015906729688499377,0.05639912998499952,0.04317160678625798,0.04010498344792279,0.030439633205717964,-0.024198253759423416,-0.014532903517218587,6,0.5,0.01831301678695163,0.006067450517582174,False,True
014850.OF,长信稳健成长混合A,长信基金,收入型,正式年化,8,2023Q1,2025Q4,正式贡献,12,68770000.0,-0.03893683061770803,0.051057809918495733,0.045576194703320194,0.02370473130415829,0.03111651497356327,-0.06264156192186632,-0.0700533455912713,7,0.5833333333333334,-0.02824783934752595,-0.009506024617469966,False,False
015047.OF,富安达稳健配置6个月持有期混合,富安达基金,收入型,正式年化,10,2023Q1,2025Q4,正式贡献,12,50749999.99999999,-0.0035834167776817027,0.047973993033310514,0.037661179873285544,0.05174406649346075,0.02793043640492665,-0.05532748327114245,-0.03151385318260835,10,0.8333333333333334,0.008440311347000407,0.002805558595633917,False,True
015160.OF,南方宝嘉混合A,南方基金,收入型,年化观察池,4,2024Q1,2026Q1,正式贡献,12,687860000.0,,,,,,,,2,0.16666666666666666,-0.04102699575028412,-0.013867072078742937,,False
015235.OF,国寿安保稳泽两年持有期混合A,国寿安保基金,收入型,正式年化,12,2023Q1,2026Q1,正式贡献,12,100910000.0,0.08326363627415079,0.060364502188504865,0.03992946359822813,0.03866241760853928,0.031104015944691144,0.04460121866561151,0.052159620329459644,9,0.75,-0.0038595476635043813,-0.0012881745690255242,True,False
015519.OF,安信远见稳进一年持有混合A,安信基金,成长型,年化观察池,7,2024Q3,2026Q1,贡献观察池,6,57260000.0,,,,,,,,4,0.6666666666666666,0.007958818917998656,,,
