基金管理人简称,evaluation_pool,credibility_grade,switch_observation_count,switch_unique_fund_count,max_single_fund_observation_share,top_two_fund_observation_share,max_single_fund_absolute_contribution_share,formal_gate_reason
尚正基金,观察池,观察池,8,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
恒越基金,观察池,观察池,8,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
格林基金,观察池,观察池,12,2,0.5833333333333334,1.0,0.5930786279382181,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
永赢基金,观察池,观察池,12,2,0.75,1.0,0.7771105715033705,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
泰信基金,观察池,观察池,2,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
红塔红土,观察池,观察池,8,2,0.625,1.0,0.6594245489068193,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
诺安基金,观察池,观察池,4,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
汇添富基金,观察池,观察池,29,6,0.2413793103448276,0.4482758620689655,0.272758672835605,切换观察<30
摩根基金(中国),观察池,观察池,25,3,0.36,0.68,0.3909772784890612,切换观察<30；切换基金<5
兴证全球基金,观察池,观察池,21,4,0.38095238095238093,0.7142857142857143,0.4627001477235636,切换观察<30；切换基金<5
万家基金,观察池,观察池,22,5,0.36363636363636365,0.6818181818181818,0.3092187894600634,切换观察<30
东海基金,观察池,观察池,11,2,0.7272727272727273,1.0,0.9033118593963105,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
国投瑞银基金,观察池,观察池,20,3,0.5,0.8,0.7204604487645285,切换观察<30；切换基金<5
兴证资管,观察池,观察池,9,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
嘉实基金,观察池,观察池,9,2,0.5555555555555556,1.0,0.5435493603531886,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
华宝基金,观察池,观察池,7,3,0.5714285714285714,0.8571428571428571,0.6827052997374193,切换观察<30；切换基金<5；单基金观察占比>50%
国联安基金,观察池,观察池,7,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
财通资管,观察池,观察池,28,5,0.2857142857142857,0.5357142857142857,0.33540144012558903,切换观察<30
金鹰基金,观察池,观察池,26,4,0.34615384615384615,0.6153846153846154,0.3237596630378216,切换观察<30；切换基金<5
华安基金,观察池,观察池,22,4,0.36363636363636365,0.6363636363636364,0.35315767950168386,切换观察<30；切换基金<5
东吴基金,观察池,观察池,5,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
弘毅远方基金,观察池,观察池,5,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
中信保诚基金,观察池,观察池,23,7,0.17391304347826086,0.34782608695652173,0.4841960830771683,切换观察<30
泰康基金,观察池,观察池,13,3,0.38461538461538464,0.7692307692307693,0.43419599101817963,切换观察<30；切换基金<5
国新国证基金,观察池,观察池,8,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
海富通基金,观察池,观察池,8,3,0.375,0.75,0.43399616791652024,切换观察<30；切换基金<5
银河基金,观察池,观察池,11,2,0.6363636363636364,1.0,0.6276420841064237,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
中海基金,观察池,观察池,3,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
合煦智远基金,观察池,观察池,6,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
