基金管理人简称,evaluation_pool,return_observation_count,switch_observation_count,switch_unique_fund_count,switch_success_count,switch_hit_ratio,wilson_lower_95,wilson_upper_95,mean_active_contribution,median_active_contribution,winsor_1_mean_contribution,winsor_5_mean_contribution,bootstrap_lower_95,bootstrap_upper_95,equal_weight_dynamic_excess,nav_weighted_dynamic_excess,equal_weight_three_asset_excess,nav_weighted_three_asset_excess,fund_positive_ratio,company_quarter_positive_ratio,worst_company_quarter_contribution,max_single_fund_observation_share,top_two_fund_observation_share,max_single_fund_absolute_contribution_share,formal_gate_reason,positive_threshold_count,positive_signal_count,credibility_grade,formal_rank
南华基金,观察池,10,2,1,1,0.5,0.09453120573423074,0.9054687942657693,0.0033987158373992013,0.0033987158373992013,0.0033987158373992013,0.0033987158373992013,,,-0.012804383861496172,-0.009303325234552635,-0.01008614675905338,-0.005095712853114622,1.0,0.5,-0.0009508696322147966,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,2,3,观察池,
同泰基金,观察池,10,2,1,1,0.5,0.09453120573423074,0.9054687942657693,-0.0007043764057061922,-0.0007043764057061922,-0.0007043764057061922,-0.0007043764057061931,,,-0.003890266200273129,0.0036088118076442913,-0.0035821006722145713,0.008598503788818082,0.0,0.5,-0.011457252580848445,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,1,1,观察池,
天弘基金,观察池,60,18,5,9,0.5,0.29031021505169974,0.7096897849483003,0.005206445934338203,9.031524776336171e-05,0.00534108245512625,0.0058796285382784405,,,-0.007382761505406149,0.003326012295169832,-0.004964617063941788,0.0029556881949975933,0.4,0.5,-0.019847920658818272,0.2777777777777778,0.5,0.32313399023756273,切换观察<30,3,3,观察池,
宏利基金,观察池,26,10,2,5,0.5,0.236593090512564,0.7634069094874361,-0.005120370730331279,0.0003046432486414085,-0.00502806119742656,-0.004658823065807687,,,0.0176260676217333,0.020718202974625254,0.02352969716508312,0.02484485496426386,0.0,0.4444444444444444,-0.04546360107126458,0.8,1.0,0.900933124450589,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,0,3,观察池,
宝盈基金,观察池,60,10,5,5,0.5,0.236593090512564,0.7634069094874361,0.0030714907418832706,0.00016160550998512723,0.003056402989297045,0.002996051978952141,,,-0.010111025499831556,-0.00944779145726577,-0.007756297632245414,-0.006817165431097935,0.8,0.3333333333333333,-0.0005727097604485683,0.3,0.6,0.45589955513441455,切换观察<30,3,3,观察池,
富安达基金,观察池,13,10,1,5,0.5,0.236593090512564,0.7634069094874361,0.0008834567942021347,0.0019155638490849988,0.000975153253674209,0.0013419390915625049,,,-0.015247923408259145,-0.018173035218299608,-0.01358007674729895,-0.016994849263809248,1.0,0.5,-0.020709503607454757,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,2,3,观察池,
尚正基金,观察池,12,8,1,4,0.5,0.21521606221387757,0.7847839377861224,-0.003823398621963822,0.00016037120292174798,-0.003826141436356953,-0.003837112693929477,,,-0.007243529725272508,-0.007936084760970422,-0.002300521330209884,-0.003309296812280594,0.0,0.5,-0.02032291972903615,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,0,1,观察池,
恒越基金,观察池,13,8,1,4,0.5,0.21521606221387757,0.7847839377861224,0.004359251654765856,0.00011719132327023187,0.004085849937700172,0.0029922430694374422,,,-0.0139401841515872,-0.009670126906587726,-0.013915284707123509,-0.009737236412739948,1.0,0.5,-0.02101503557720948,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,3,观察池,
格林基金,观察池,20,12,2,6,0.5,0.2537815976337061,0.7462184023662939,0.0011775829606033448,0.0006205314659834193,0.0009435185098138243,7.260706655732157e-06,,,-0.01749316037234886,-0.01673043519797426,-0.0025434560122993377,-0.005953290710710585,0.5,0.5,-0.007793941138377298,0.5833333333333334,1.0,0.5930786279382181,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,2,观察池,
永赢基金,观察池,24,12,2,6,0.5,0.2537815976337061,0.7462184023662939,0.001212380856725978,-0.00011485972234425438,0.0011056460456028339,0.0006787068011102543,,,0.03534935795473156,0.0669942971354699,0.04408566733577021,0.07227193793322607,0.5,0.3333333333333333,-0.008769432463027416,0.75,1.0,0.7771105715033705,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,3,观察池,
泰信基金,观察池,13,2,1,1,0.5,0.09453120573423074,0.9054687942657693,-1.9952402327335457e-05,-1.9952402327335457e-05,-1.9952402327335457e-05,-1.9952402327335457e-05,,,-0.02149055563026819,-0.020835873780201634,-0.022145803857878524,-0.022395102040975418,0.0,0.5,-0.0024574324354043556,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,1,0,观察池,
红塔红土,观察池,20,8,2,4,0.5,0.21521606221387757,0.7847839377861224,0.0041378078760443615,8.670038408706163e-05,0.0038939542261153437,0.0029185396263992757,,,0.00929011378362937,0.0024557005854865337,0.018037995973748798,0.0031362423241557864,1.0,0.5714285714285714,-0.010066934834558727,0.625,1.0,0.6594245489068193,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,5,观察池,
诺安基金,观察池,13,4,1,2,0.5,0.15003898915214947,0.8499610108478506,0.010288197396419375,0.0031510610418275303,0.010074083305781618,0.009217626943230596,,,-0.023106290968562253,-0.009873993327900864,-0.03318227803773082,-0.016937457243361192,1.0,0.5,-0.008707199854349815,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,3,观察池,
